                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.3239,                 1.1294,                 1.3022,                0.69044,                0.59037,                0.65038,                0.40051,                 1.2372,                0.99797,                 1.2561,               0.004654,               0.004654,               0.004654
                     56,                 1.3222,                 1.1238,                 1.2994,                0.69091,                0.59089,                0.65056,                0.40072,                 1.2368,                0.99688,                 1.2557,               0.004555,               0.004555,               0.004555
                     57,                 1.3187,                 1.1262,                 1.2977,                0.68568,                0.59477,                0.65073,                0.40101,                 1.2362,                0.99588,                 1.2554,               0.004456,               0.004456,               0.004456
                     58,                 1.3197,                 1.1238,                 1.3008,                   0.69,                 0.5905,                 0.6508,                 0.4013,                 1.2364,                0.99516,                 1.2555,               0.004357,               0.004357,               0.004357
                     59,                 1.3108,                 1.1189,                  1.297,                0.69047,                0.59009,                0.65095,                0.40144,                  1.236,                0.99469,                 1.2551,               0.004258,               0.004258,               0.004258
                     60,                  1.309,                 1.1123,                 1.2962,                 0.6935,                0.58767,                0.65104,                0.40152,                 1.2358,                0.99404,                  1.255,               0.004159,               0.004159,               0.004159
                     61,                 1.3025,                 1.1051,                 1.2901,                0.69112,                 0.5888,                0.65105,                0.40169,                 1.2356,                0.99337,                 1.2546,                0.00406,                0.00406,                0.00406
                     62,                 1.3092,                 1.1047,                 1.2884,                0.68997,                0.59028,                0.65132,                0.40176,                 1.2352,                0.99259,                  1.254,               0.003961,               0.003961,               0.003961
                     63,                 1.3016,                 1.1012,                 1.2866,                   0.69,                0.59137,                0.65125,                 0.4021,                 1.2349,                0.99182,                 1.2536,               0.003862,               0.003862,               0.003862
                     64,                 1.3028,                 1.1061,                 1.2888,                0.68933,                0.59107,                0.65142,                0.40208,                 1.2346,                0.99161,                 1.2535,               0.003763,               0.003763,               0.003763
                     65,                 1.2999,                 1.1007,                 1.2844,                0.68971,                0.59091,                0.65169,                0.40241,                 1.2346,                 0.9907,                 1.2532,               0.003664,               0.003664,               0.003664
                     66,                 1.2932,                 1.0891,                 1.2806,                0.68995,                0.59085,                0.65183,                0.40255,                 1.2342,                0.99034,                  1.253,               0.003565,               0.003565,               0.003565
                     67,                 1.2905,                 1.0815,                 1.2813,                0.68977,                0.59118,                0.65192,                0.40277,                 1.2341,                0.98997,                 1.2527,               0.003466,               0.003466,               0.003466
                     68,                 1.2889,                 1.0893,                 1.2781,                0.69164,                0.59012,                0.65208,                0.40289,                  1.234,                0.98937,                 1.2528,               0.003367,               0.003367,               0.003367
                     69,                 1.2925,                 1.0846,                 1.2801,                0.69127,                0.59037,                0.65175,                  0.403,                 1.2338,                0.98888,                 1.2526,               0.003268,               0.003268,               0.003268
                     70,                 1.2793,                 1.0811,                 1.2782,                0.69045,                0.59142,                0.65183,                0.40307,                 1.2336,                0.98875,                 1.2525,               0.003169,               0.003169,               0.003169
                     71,                 1.2852,                 1.0739,                 1.2765,                 0.6899,                0.59207,                0.65194,                0.40306,                 1.2336,                0.98826,                 1.2524,                0.00307,                0.00307,                0.00307
                     72,                 1.2842,                 1.0646,                 1.2728,                0.69003,                0.59242,                 0.6519,                0.40326,                 1.2334,                 0.9877,                 1.2523,               0.002971,               0.002971,               0.002971
                     73,                 1.2756,                  1.065,                 1.2709,                0.68788,                0.59395,                0.65223,                0.40354,                 1.2331,                0.98716,                 1.2522,               0.002872,               0.002872,               0.002872
                     74,                 1.2723,                 1.0541,                 1.2653,                0.68952,                 0.5931,                0.65204,                0.40366,                  1.233,                 0.9865,                 1.2519,               0.002773,               0.002773,               0.002773
                     75,                 1.2702,                 1.0522,                 1.2685,                 0.6883,                0.59338,                0.65223,                0.40372,                 1.2329,                0.98599,                 1.2518,               0.002674,               0.002674,               0.002674
                     76,                 1.2692,                 1.0507,                 1.2664,                0.68769,                0.59451,                0.65229,                0.40367,                 1.2326,                0.98545,                 1.2516,               0.002575,               0.002575,               0.002575
                     77,                 1.2664,                 1.0448,                 1.2643,                0.69118,                0.59211,                0.65246,                0.40387,                 1.2323,                0.98465,                 1.2514,               0.002476,               0.002476,               0.002476
                     78,                 1.2651,                 1.0436,                 1.2627,                0.68909,                0.59364,                0.65221,                0.40392,                 1.2322,                0.98411,                 1.2513,               0.002377,               0.002377,               0.002377
                     79,                 1.2611,                 1.0399,                  1.259,                0.68865,                0.59508,                0.65274,                0.40403,                 1.2322,                0.98358,                  1.251,               0.002278,               0.002278,               0.002278
                     80,                 1.2597,                 1.0362,                 1.2625,                0.68861,                 0.5952,                0.65268,                0.40404,                 1.2321,                0.98275,                  1.251,               0.002179,               0.002179,               0.002179
                     81,                  1.258,                  1.033,                 1.2575,                0.68667,                0.59617,                 0.6524,                0.40403,                  1.232,                0.98227,                 1.2506,                0.00208,                0.00208,                0.00208
                     82,                 1.2586,                 1.0255,                 1.2568,                0.68874,                0.59442,                0.65262,                 0.4043,                 1.2318,                0.98181,                 1.2504,               0.001981,               0.001981,               0.001981
                     83,                 1.2465,                 1.0198,                 1.2496,                0.68708,                0.59565,                0.65267,                0.40437,                 1.2314,                0.98171,                 1.2499,               0.001882,               0.001882,               0.001882
                     84,                  1.244,                 1.0131,                 1.2523,                0.68862,                0.59437,                0.65258,                0.40447,                 1.2312,                0.98122,                 1.2495,               0.001783,               0.001783,               0.001783
                     85,                 1.2434,                 1.0164,                 1.2501,                0.68806,                0.59542,                0.65284,                0.40464,                 1.2312,                0.98089,                 1.2493,               0.001684,               0.001684,               0.001684
                     86,                 1.2401,                 1.0112,                 1.2503,                0.68814,                0.59564,                0.65289,                0.40478,                 1.2308,                0.98036,                 1.2491,               0.001585,               0.001585,               0.001585
                     87,                 1.2382,                 1.0028,                 1.2423,                 0.6882,                0.59542,                0.65265,                0.40488,                 1.2308,                0.97998,                 1.2488,               0.001486,               0.001486,               0.001486
                     88,                 1.2402,                 1.0009,                 1.2435,                0.68863,                 0.5949,                0.65261,                 0.4048,                 1.2307,                0.97954,                 1.2487,               0.001387,               0.001387,               0.001387
                     89,                 1.2292,                0.99867,                 1.2426,                0.68919,                0.59499,                0.65265,                0.40487,                 1.2308,                0.97898,                 1.2486,               0.001288,               0.001288,               0.001288
                     90,                 1.2309,                0.99207,                 1.2421,                0.68956,                0.59486,                0.65259,                0.40485,                 1.2308,                 0.9787,                 1.2485,               0.001189,               0.001189,               0.001189
                     91,                 1.2047,                0.91399,                  1.226,                0.68985,                0.59458,                0.65267,                0.40494,                 1.2305,                0.97832,                 1.2482,                0.00109,                0.00109,                0.00109
                     92,                 1.1952,                0.89598,                 1.2246,                 0.6902,                0.59407,                0.65267,                0.40496,                 1.2305,                0.97796,                 1.2481,               0.000991,               0.000991,               0.000991
                     93,                 1.1903,                0.88838,                 1.2209,                0.68963,                0.59407,                0.65238,                0.40495,                 1.2302,                0.97762,                 1.2479,               0.000892,               0.000892,               0.000892
                     94,                 1.1851,                0.88504,                  1.218,                0.68908,                0.59477,                0.65218,                0.40487,                   1.23,                 0.9772,                  1.248,               0.000793,               0.000793,               0.000793
                     95,                 1.1785,                 0.8768,                 1.2138,                0.69053,                0.59346,                0.65199,                0.40482,                 1.2302,                0.97692,                 1.2479,               0.000694,               0.000694,               0.000694
                     96,                 1.1734,                0.86723,                 1.2089,                0.68907,                0.59483,                0.65204,                0.40473,                 1.2301,                 0.9768,                 1.2479,               0.000595,               0.000595,               0.000595
                     97,                 1.1737,                0.86242,                 1.2108,                0.68816,                0.59577,                0.65219,                0.40473,                 1.2302,                0.97683,                  1.248,               0.000496,               0.000496,               0.000496
                     98,                 1.1666,                0.85572,                 1.2073,                0.69259,                0.59211,                0.65184,                0.40458,                 1.2302,                0.97669,                 1.2481,               0.000397,               0.000397,               0.000397
                     99,                 1.1708,                0.84967,                 1.2096,                0.69327,                0.59102,                0.65166,                0.40436,                 1.2301,                0.97667,                 1.2481,               0.000298,               0.000298,               0.000298
                    100,                 1.1624,                0.84448,                 1.2014,                0.69243,                0.59211,                0.65158,                 0.4042,                 1.2303,                0.97663,                 1.2483,               0.000199,               0.000199,               0.000199
